step,generated_token,layer,head,image_attention,text_attention,image_attention_pct,text_attention_pct
0,A,0,0,0.8046875,0.000865936279296875,99.89250417907762,0.10749582092238046
0,A,0,1,1.0,6.51925802230835e-08,99.9999934807424,6.519257597301126e-06
0,A,0,2,0.97265625,0.0091552734375,99.06751212234241,0.9324878776575904
0,A,0,3,0.375,0.37109375,50.26178010471204,49.73821989528796
0,A,0,4,0.9921875,0.000835418701171875,99.91587115609934,0.08412884390065882
0,A,0,5,0.91796875,0.00457763671875,99.50380416804498,0.49619583195501155
0,A,0,6,0.12451171875,0.07177734375,63.43283582089553,36.56716417910448
0,A,0,7,1.0,1.3768672943115234e-05,99.99862315166305,0.00137684833693708
0,A,1,0,0.04931640625,0.6875,6.693174287607687,93.30682571239231
0,A,1,1,0.59765625,0.203125,74.63414634146342,25.365853658536587
0,A,1,2,0.439453125,0.0038299560546875,99.13600220302227,0.8639977969777288
0,A,1,3,0.494140625,0.0147705078125,97.0976253298153,2.9023746701846966
0,A,1,4,0.76953125,0.005706787109375,99.26386647246387,0.7361335275361177
0,A,1,5,0.0986328125,0.022216796875,81.61616161616162,18.383838383838384
0,A,1,6,0.96875,0.0009765625,99.8992950654582,0.10070493454179255
0,A,1,7,0.59765625,0.002838134765625,99.52736697667326,0.47263302332672663
0,A,2,0,0.1640625,0.004974365234375,97.05723054703014,2.9427694529698503
0,A,2,1,0.296875,0.00445556640625,98.52136925258253,1.4786307474174598
0,A,2,2,0.1318359375,0.0284423828125,82.25437928408226,17.745620715917745
0,A,2,3,0.90625,0.002777099609375,99.694497599624,0.30550240037600296
0,A,2,4,0.271484375,0.005706787109375,97.94120885170098,2.05879114829902
0,A,2,5,1.0,6.0558319091796875e-05,99.99394453479962,0.006055465200385833
0,A,2,6,0.06103515625,0.03466796875,63.775510204081634,36.224489795918366
0,A,2,7,0.1962890625,0.3359375,36.88073394495413,63.11926605504588
0,A,3,0,0.1796875,0.02783203125,86.58823529411764,13.411764705882353
0,A,3,1,0.283203125,0.00115203857421875,99.59485927396635,0.4051407260336455
0,A,3,2,0.99609375,0.000286102294921875,99.97128582093838,0.028714179061620628
0,A,3,3,0.47265625,0.00701904296875,98.53670950502608,1.4632904949739152
0,A,3,4,0.1064453125,0.010498046875,91.02296450939458,8.977035490605429
0,A,3,5,0.052001953125,0.024658203125,67.83439490445859,32.1656050955414
0,A,3,6,0.0169677734375,0.00360107421875,82.49258160237389,17.50741839762611
0,A,3,7,0.0184326171875,0.0223388671875,45.209580838323355,54.79041916167665
0,A,4,0,0.3125,0.01904296875,94.2562592047128,5.743740795287187
0,A,4,1,0.05712890625,0.031494140625,64.46280991735537,35.53719008264463
0,A,4,2,0.14453125,0.103515625,58.26771653543307,41.732283464566926
0,A,4,3,0.75,0.04345703125,94.52307692307691,5.476923076923077
0,A,4,4,0.091796875,0.1201171875,43.31797235023041,56.68202764976959
0,A,4,5,0.76953125,0.12255859375,86.26163108921729,13.738368910782702
0,A,4,6,0.1025390625,0.12890625,44.303797468354425,55.69620253164557
0,A,4,7,0.298828125,0.447265625,40.05235602094241,59.947643979057595
0,A,5,0,0.302734375,0.0277099609375,91.61433321019578,8.38566678980421
0,A,5,1,0.1796875,0.01025390625,94.60154241645245,5.3984575835475574
0,A,5,2,0.85546875,0.0224609375,97.44160177975529,2.5583982202447166
0,A,5,3,0.3515625,0.357421875,49.586776859504134,50.413223140495866
0,A,5,4,0.9921875,0.00121307373046875,99.87788674956032,0.1221132504396845
0,A,5,5,0.14453125,0.0732421875,66.3677130044843,33.6322869955157
0,A,5,6,0.50390625,0.166015625,75.21865889212827,24.78134110787172
